Порядковый номер,Идентификационный номер,Классификация очагов,Год обследования,"Периметр территории очагов,м","Площадь территории очагов,м2"
1688,2276,Возникающий очаг,2009,34.3059158,52.1750717
1689,2277,Возникающий очаг,2009,28.6818008,41.2339363
1690,2278,Возникающий очаг,2009,121.5272598,226.5726776
1704,2279,Действующий очаг,2009,164.3443909,310.8703003
1705,2280,Возникающий очаг,2009,55.7640533,95.6567307
1768,2281,Возникающий очаг,2009,108.2776642,198.8290253
1771,2282,Возникающий очаг,2009,49.6066628,83.2347641
1772,2283,Возникающий очаг,2009,34.4609261,52.864296
1773,2284,Возникающий очаг,2009,243.0574341,471.2977905
1892,2285,Возникающий очаг,2009,72.3390884,128.8340302
1893,2286,Возникающий очаг,2009,36.9261932,57.8111305
1894,2287,Возникающий очаг,2009,36.6910172,57.0507622
1895,2288,Действующий очаг,2009,271.6156921,528.1915894
1896,2289,Действующий очаг,2009,102.9730911,190.4756165
1899,2290,Действующий очаг,2009,141.2246246,267.4873657
1901,2291,Действующий очаг,2009,80.6251221,144.4632111
1902,2292,Действующий очаг,2009,83.6078262,152.243988
1903,2293,Действующий очаг,2009,88.1391907,159.5945892
1904,2294,Действующий очаг,2009,101.5292664,188.3895111
1905,2295,Затухающий очаг,2009,78.9180908,143.0346832
1906,2296,Затухающий очаг,2009,289.8153381,563.9836426
1907,2297,Возникающий очаг,2009,87.7530746,159.8335571
1908,2298,Возникающий очаг,2009,169.4658508,323.1612854
1909,2299,Действующий очаг,2009,182.2828979,347.3262939
1910,2300,Возникающий очаг,2009,113.801033,211.6737671
1911,2301,Затухающий очаг,2009,426.5222473,840.2650146
1912,2302,Действующий очаг,2009,153.5643158,292.9782715
1913,2303,Возникающий очаг,2009,63.8296738,111.1034088
1914,2304,Возникающий очаг,2009,42.6413231,69.8910294
1915,2305,Возникающий очаг,2009,106.9101715,197.5737457
1916,2306,Возникающий очаг,2009,57.3443832,98.3894501
1917,2307,Затухающий очаг,2009,284.0570374,550.4335327
1918,2308,Действующий очаг,2009,58.3973122,101.4723511
1919,2309,Действующий очаг,2009,154.395874,292.8780518
1920,2310,Возникающий очаг,2009,80.7869797,145.348114
1921,2311,Действующий очаг,2009,259.2461243,506.136261
1922,2312,Действующий очаг,2009,59.0319405,101.9419937
1923,2313,Затухающий очаг,2009,78.8719101,143.1796875
1924,2314,Затухающий очаг,2009,112.2090225,208.607132
1925,2315,Действующий очаг,2009,104.492363,193.1921082
1926,2316,Действующий очаг,2009,92.5222168,168.9945374
1927,2317,Возникающий очаг,2009,61.3825493,106.923111
1928,2318,Затухающий очаг,2009,78.4365921,140.7241974
1929,2319,Возникающий очаг,2009,54.7626266,95.1257401
1930,2320,Затухающий очаг,2009,50.507309,84.5146103
1931,2321,Действующий очаг,2009,65.1032104,111.4484558
1932,2322,Действующий очаг,2009,98.6956329,170.896759
1933,2323,Возникающий очаг,2009,79.7918243,142.5345001
1934,2324,Возникающий очаг,2009,59.3101768,102.3918152
1935,2325,Возникающий очаг,2009,84.056778,149.4295654
1936,2326,Возникающий очаг,2009,85.1668472,154.8388824
1938,2327,Действующий очаг,2009,83.8156891,141.8131104
1939,2328,Действующий очаг,2009,77.7987442,126.8101883
1941,2329,Действующий очаг,2009,93.2428818,173.5796204
1942,2330,Действующий очаг,2009,38.5881348,61.6775208
1943,2331,Действующий очаг,2009,46.2081108,76.7520218
1944,2332,Действующий очаг,2009,90.8606415,166.2779846
1945,2333,Возникающий очаг,2009,45.7435722,75.1315689
1946,2334,Возникающий очаг,2009,100.1763458,185.4512482
1947,2335,Возникающий очаг,2009,120.3218079,223.7209473
1948,2336,Действующий очаг,2009,106.754921,197.4907532
1949,2337,Действующий очаг,2009,77.7001648,138.9386444
1950,2338,Возникающий очаг,2009,136.6039429,254.820816
1951,2339,Возникающий очаг,2009,701.7183838,1385.8582764
1952,2340,Действующий очаг,2009,151.6323547,285.744812
1953,2341,Действующий очаг,2009,188.7993622,361.0018005
1957,2342,Возникающий очаг,2009,75.6390839,135.3697662
1958,2343,Возникающий очаг,2009,245.9561615,475.2690125
1963,2344,Действующий очаг,2009,358.7503052,705.6148071
1964,2345,Действующий очаг,2009,393.4925842,772.9835815
1965,2346,Возникающий очаг,2009,122.1802444,228.8112946
1966,2347,Действующий очаг,2009,86.4704819,156.4170074
1969,2348,Возникающий очаг,2009,52.2393761,87.7138519
1970,2349,Действующий очаг,2009,109.1444397,203.3403015
1971,2350,Возникающий очаг,2009,73.2581253,130.5795746
1973,2351,Действующий очаг,2009,391.6025696,775.0320435
1974,2352,Действующий очаг,2009,85.3965759,155.061615
1975,2353,Действующий очаг,2009,77.3505402,139.9290466
1976,2354,Действующий очаг,2009,19.4124584,22.7923546
1977,2355,Действующий очаг,2009,100.5655823,183.3370667
1978,2356,Действующий очаг,2009,169.6956787,326.9860229
1979,2357,Действующий очаг,2009,167.8956451,321.9675293
1980,2358,Действующий очаг,2009,72.0656509,127.6235275
1981,2359,Действующий очаг,2009,108.2226257,200.2050018
1982,2360,Действующий очаг,2009,48.0803604,79.6357117
1983,2361,Возникающий очаг,2009,86.2025681,156.8570557
1984,2362,Возникающий очаг,2009,65.0311661,114.9298096
1985,2363,Затухающий очаг,2009,69.6529465,123.7254333
1986,2364,Затухающий очаг,2009,39.9278336,63.7787514
1987,2365,Действующий очаг,2009,35.506321,55.0228691
1988,2366,Затухающий очаг,2009,65.9691391,115.3237991
1989,2367,Действующий очаг,2009,170.6617279,326.1625977
1990,2368,Действующий очаг,2009,136.264328,258.0933228
1991,2369,Действующий очаг,2009,160.6953888,305.4908752
1992,2370,Действующий очаг,2009,72.8004379,129.043808
1993,2371,Возникающий очаг,2009,64.934288,112.4121475
1994,2372,Возникающий очаг,2009,153.8113098,290.1497192
1995,2373,Действующий очаг,2009,217.5436554,420.3552246
1996,2374,Действующий очаг,2009,141.7598877,266.9266968
1997,2375,Действующий очаг,2009,303.2432251,589.8461304
2021,2376,Действующий очаг,2009,124.6866455,234.9155426
2022,2377,Действующий очаг,2009,116.5103531,215.835556
2023,2378,Возникающий очаг,2009,32.2547493,47.6741295
2024,2379,Возникающий очаг,2009,130.3199158,244.3578033
2025,2380,Возникающий очаг,2009,76.8959427,137.119278
2026,2381,Возникающий очаг,2009,57.3705101,99.1777649
2078,2382,Возникающий очаг,2009,21.7270603,27.556345
2079,2383,Возникающий очаг,2009,168.4265289,319.6664124
2080,2384,Затухающий очаг,2009,34.0109863,52.3325348
2118,2385,Действующий очаг,2009,418.0991211,828.3936768
2119,2386,Возникающий очаг,2009,40.5378685,64.7802048
2120,2387,Затухающий очаг,2009,57.8082771,100.0813751
2121,2388,Затухающий очаг,2009,79.63797,143.931839
2122,2389,Действующий очаг,2009,83.3705826,150.2698669
2123,2390,Действующий очаг,2009,62.9592323,109.4661865
2125,2391,Возникающий очаг,2009,504.4035339,997.5631714
2126,2392,Действующий очаг,2009,51.3855972,87.5592194
2127,2393,Действующий очаг,2009,58.3280029,100.8912354
2128,2394,Действующий очаг,2009,1655.6134033,3317.1923828
2129,2395,Действующий очаг,2009,455.0088196,904.274292
2130,2396,Возникающий очаг,2009,380.7530212,737.9611816
2132,2397,Возникающий очаг,2009,51.1530418,86.7637253
2133,2398,Действующий очаг,2009,92.1746902,169.8970032
2134,2399,Возникающий очаг,2009,55.659832,94.6328506
2135,2400,Возникающий очаг,2009,30.153492,44.456543
2246,2401,Действующий очаг,2009,541.5615234,1074.7817383
2248,2402,Возникающий очаг,2009,80.9784622,145.7010651
2334,2403,Затухающий очаг,2009,135.6615143,257.089386
2335,2404,Возникающий очаг,2009,107.8235321,201.3992004
2336,2405,Возникающий очаг,2009,99.2843323,180.1543274
2339,2406,Возникающий очаг,2009,121.918602,225.1410828
2340,2407,Возникающий очаг,2009,1231.2009277,2457.7150879
2341,2408,Возникающий очаг,2009,98.4164276,181.156601
2342,2409,Возникающий очаг,2009,141.500351,265.6052551
2343,2410,Возникающий очаг,2009,104.8351059,193.3451538
2344,2411,Возникающий очаг,2009,50.7518311,133.7401733
2345,2412,Действующий очаг,2009,163.0986328,311.1894836
2588,2413,Действующий очаг,2009,1090.1833496,2164.2067871
2621,2414,Затухающий очаг,2009,672.3582153,1334.6577148
