Порядковый номер,Идентификационный номер,Классификация очагов,Год обследования,"Периметр территории очагов,м","Площадь территории очагов,м2"
3569,1935,Без признаков поражения,2017,153.5027161,211.6750641
3570,1936,Возникающий очаг,2017,15.9316063,18.2228737
3571,1937,Без признаков поражения,2017,23.8516197,30.5735073
3572,1938,Без признаков поражения,2017,125.5079727,2269.9299316
3573,1939,Без признаков поражения,2017,15.7408829,0.344334
3574,1940,Без признаков поражения,2017,13.5201445,6.2979698
3575,1941,Возникающий очаг,2017,23.2338943,28.7666073
3576,1942,Без признаков поражения,2017,15.6746178,16.5480804
3577,1943,Без признаков поражения,2017,89.069458,45.4799347
3578,1944,Возникающий очаг,2017,57.8804092,-533.8276978
3579,1945,Без признаков поражения,2017,14.9638805,5.8108578
3580,1946,Возникающий очаг,2017,105.688652,-236.4399872
3581,1947,Без признаков поражения,2017,19.6741104,20.6128197
3582,1948,Без признаков поражения,2017,52.2145462,129.9364471
3583,1949,Без признаков поражения,2017,58.8726654,-130.9960632
3584,1950,Действующий очаг,2017,193.8716431,1873.2873535
3585,1951,Затухающий очаг,2017,133.3952026,929.5629883
3586,1952,Без признаков поражения,2017,137.758255,204.4351044
3587,1953,Затухающий очаг,2017,194.381546,1688.3931885
3588,1954,Возникающий очаг,2017,27.7411175,38.5385284
3589,1955,Возникающий очаг,2017,80.5762405,-122.5798645
3590,1956,Возникающий очаг,2017,28.2466297,52.4395142
3591,1957,Возникающий очаг,2017,67.6276016,137.5258179
3592,1958,Возникающий очаг,2017,87.7960281,208.2080231
3593,1959,Возникающий очаг,2017,28.3497105,23.4735527
3594,1960,Возникающий очаг,2017,372.4754028,-273.6490784
3595,1961,Возникающий очаг,2017,41.8854294,-20.0938263
3596,1962,Действующий очаг,2017,282.1693115,2033.8586426
3597,1963,Действующий очаг,2017,265.8442688,1741.1945801
3598,1964,Без признаков поражения,2017,198.0496063,599.7719116
3599,1965,Возникающий очаг,2017,159.9864655,924.2925415
3600,1966,Возникающий очаг,2017,34.7607117,69.3454056
3601,1967,Возникающий очаг,2017,88.6869888,224.583252
3602,1968,Действующий очаг,2017,298.1925659,336.0839844
3603,1969,Действующий очаг,2017,127.0929413,1698.2397461
3604,1970,Без признаков поражения,2017,184.6101532,879.3880615
3605,1971,Без признаков поражения,2017,66.1883316,278.3468323
3606,1972,Возникающий очаг,2017,155.6328583,699.2987061
3607,1973,Затухающий очаг,2017,20.5979385,31.725544
3608,1974,Затухающий очаг,2017,107.7679443,117.9062653
3609,1975,Действующий очаг,2017,39.771637,83.3177109
3610,1976,Действующий очаг,2017,403.5490112,232.5906525
3611,1977,Действующий очаг,2017,138.5528717,-390.3182678
3612,1978,Действующий очаг,2017,482.8503418,6917.0610352
3613,1979,Действующий очаг,2017,155.6042633,1401.4221191
3614,1980,Затухающий очаг,2017,29.1154556,43.9540482
3615,1981,Действующий очаг,2017,49.191555,109.4694748
3616,1982,Действующий очаг,2017,76.9945755,130.4421539
3617,1983,Затухающий очаг,2017,175.0847321,755.2452393
3618,1984,Действующий очаг,2017,234.7440796,-1902.0861816
3619,1985,Действующий очаг,2017,140.2592163,1310.4968262
